percentile,value
0.90,0.994851583464871
0.80,0.990511737269366
0.70,0.98237713789464
0.60,0.98147544435633
0.50,0.975133224987468
0.40,0.835801838366611
0.30,0.694315796339539
0.20,0.55012501633237
0.10,0.406459808360843
0.01,0.264841647377587
